# word  v-f  v-m  v-l  v-o 
get 2547934 48298 7599 44958
set 1152221 27743 27048 33685
add 218624 12556 3562 29743
test 233905 13202 6869 7800
name 1116 28812 224252 4739
create 193131 11307 6011 16438
id 632 15046 148126 6593
value 3960 32386 125842 2586
type 2758 37282 110802 7531
remove 102061 5841 5664 26742
to 0 83569 23298 0
init 46183 4453 10965 37063
update 53564 9557 14752 17823
data 0 40549 50750 0
parse 29118 3185 1211 53610
write 51979 4498 2252 26948
read 52511 8517 2846 20461
string 3945 23155 56115 284
file 3035 36726 43523 148
list 11618 21239 42891 2560
text 0 23900 52144 0
class 2321 35973 37597 129
run 10345 2967 1811 60678
size 4627 4339 52581 13687
object 2123 25111 47083 214
do 71332 2281 494 264
find 64540 5336 598 3134
key 7147 25060 39513 542
by 0 62726 6801 0
start 24860 21474 9645 10976
listener 0 2495 64373 0
element 0 19135 45184 0
visit 38051 992 1653 21698
all 0 36126 24260 0
count 6707 3958 46241 1655
code 1199 6313 50261 347
property 0 30526 25818 0
check 41045 8008 3327 3963
load 37618 4745 3032 10800
message 1122 15901 34339 887
attribute 1217 18902 30674 651
from 0 43914 7302 0
process 30202 8238 3503 8792
execute 12878 1376 1830 33346
user 0 34248 14697 0
delete 25172 5661 6276 11781
end 18704 18175 9662 2187
date 1219 15235 31705 183
event 0 16599 30538 0
action 0 16295 30814 0
index 6590 11046 28605 779
table 1148 26106 18531 181
handle 37606 1607 3020 3506
for 0 40404 5008 0
column 0 32230 13058 0
node 0 17909 27253 0
field 1117 21056 22240 438
description 149 5721 37454 1125
array 1865 8141 34031 398
instance 0 6867 37468 0
time 1080 16708 25380 194
default 0 36698 6107 0
of 0 32371 9961 0
print 24634 4844 3091 9735
info 0 7275 32935 0
component 0 9641 30262 0
save 21127 5223 2583 10064
item 0 17082 21660 0
jj 29704 66 0 8371
line 1300 18015 17276 271
new 0 32838 2977 0
model 1242 12482 21071 124
path 0 7956 26832 0
image 0 13990 20668 0
hash 28105 3462 2365 718
error 1831 13440 13227 5891
show 22995 6529 1028 3443
insert 18456 4210 3106 8023
color 972 8206 24049 201
in 0 29139 3970 0
build 23994 3137 967 4745
clone 3246 597 1514 27476
row 847 16449 14399 298
state 803 7766 22841 499
max 2465 23992 4063 1204
map 3648 7771 19081 1033
paint 15002 1318 5030 9880
change 7336 16063 7269 300
group 965 15209 14438 289
with 0 28674 2201 0
up 0 4046 26615 0
number 0 11950 18641 0
content 0 15663 14430 0
context 0 7763 21647 0
format 6434 5301 12455 4555
source 0 14140 14537 0
xml 1730 14039 12792 44
and 822 25987 766 992
reset 11142 1203 1253 14884
tag 1601 9713 16703 364
at 0 5419 22793 0
make 24219 1444 128 2188
url 649 4908 22290 119
last 0 24372 3144 0
compare 13479 1305 676 12000
page 1107 13692 12248 102
parameter 586 13823 12556 157
is 0 23886 3114 0
accept 6090 1342 2387 16984
panel 232 3490 22919 22
log 6037 9946 4371 6258
